baskervilles01	61	5	Dr.	Dr.	NNP	(S(NP Dr.	***	OS	_
baskervilles01	61	6	Mortimer	Mortimer	NNP	 Mortimer)	***	OS	_
baskervilles01	61	7	withdrew	withdraw	VBD	(VP withdrew	***	OS	_
baskervilles01	61	8	from	from	IN	(PP from	***	OS	_
baskervilles01	61	9	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	61	10	service	service	NN	 service)	***	OS	_
baskervilles01	61	11	of	of	IN	(PP of	***	OS	_
baskervilles01	61	12	the	the	DT	(NP the	***	OS	_
baskervilles01	61	13	hospital	hospital	NN	 hospital))))	***	OS	_
baskervilles01	61	14	in	in	IN	(SBAR in	***	OS	_
baskervilles01	61	15	order	order	NN	 order	***	OS	_
baskervilles01	61	16	to	to	TO	(S(VP to	***	OS	_
baskervilles01	61	17	start	start	VB	(VP start	***	OS	_
baskervilles01	61	18	a	a	DT	(NP a	***	OS	_
baskervilles01	61	19	practice	practice	NN	 practice)	***	OS	_
baskervilles01	61	20	for	for	IN	(PP for	***	OS	_
baskervilles01	61	21	himself	himself	PRP	(NP himself)))))))))	***	OS	_
baskervilles01	61	22	.	.	.	 .)	***	OS	_

baskervilles01	62	0	We	We	PRP	(S(NP We)	***	OS	_
baskervilles01	62	1	know	know	VBP	(VP know	***	OS	_
baskervilles01	62	2	there	there	EX	(SBAR(S(NP there)	***	OS	_
baskervilles01	62	3	has	have	VBZ	(VP has	***	OS	_
baskervilles01	62	4	been	be	VBN	(VP been	***	OS	_
baskervilles01	62	5	a	a	DT	(NP a	***	OS	_
baskervilles01	62	6	presentation	presentation	NN	 presentation))))))	***	OS	_
baskervilles01	62	7	.	.	.	 .)	***	OS	_

baskervilles01	63	0	We	We	PRP	(S(NP We)	***	OS	_
baskervilles01	63	1	believe	believe	VBP	(VP believe	***	OS	_
baskervilles01	63	2	there	there	EX	(SBAR(S(NP there)	***	OS	_
baskervilles01	63	3	has	have	VBZ	(VP has	***	OS	_
baskervilles01	63	4	been	be	VBN	(VP been	***	OS	_
baskervilles01	63	5	a	a	DT	(NP(NP a	***	OS	_
baskervilles01	63	6	change	change	NN	 change)	***	OS	_
baskervilles01	63	7	from	from	IN	(PP(PP from	***	OS	_
baskervilles01	63	8	a	a	DT	(NP a	***	OS	_
baskervilles01	63	9	town	town	NN	 town	***	OS	_
baskervilles01	63	10	hospital	hospital	NN	 hospital))	***	OS	_
baskervilles01	63	11	to	to	TO	(PP to	***	OS	_
baskervilles01	63	12	a	a	DT	(NP a	***	OS	_
baskervilles01	63	13	country	country	NN	 country	***	OS	_
baskervilles01	63	14	practice	practice	NN	 practice)))))))))	***	OS	_
baskervilles01	63	15	.	.	.	 .)	***	OS	_

baskervilles01	64	0	Is	Be	VBZ	(SQ Is	***	OS	_
baskervilles01	64	1	it	it	PRP	(NP it)	***	OS	_
baskervilles01	64	2	,	,	,	 ,	***	OS	_
baskervilles01	64	3	then	then	RB	(ADVP then)	***	OS	_
baskervilles01	64	4	,	,	,	 ,	***	OS	_
baskervilles01	64	5	stretching	stretch	VBG	(VP stretching	***	OS	_
baskervilles01	64	6	our	our	PRP$	(NP our	***	OS	_
baskervilles01	64	7	inference	inference	NN	 inference	***	OS	_
baskervilles01	64	8	too	too	RB	(S(ADVP too	***	OS	_
baskervilles01	64	9	far	far	RB	 far)	***	OS	_
baskervilles01	64	10	to	to	TO	(VP to	***	OS	_
baskervilles01	64	11	say	say	VB	(VP say	***	OS	_
baskervilles01	64	12	that	that	IN	(SBAR that	***	OS	_
baskervilles01	64	13	the	the	DT	(S(NP the	***	OS	_
baskervilles01	64	14	presentation	presentation	NN	 presentation)	***	OS	_
baskervilles01	64	15	was	be	VBD	(VP was	***	OS	_
baskervilles01	64	16	on	on	IN	(PP on	***	OS	_
baskervilles01	64	17	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	64	18	occasion	occasion	NN	 occasion)	***	OS	_
baskervilles01	64	19	of	of	IN	(PP of	***	OS	_
baskervilles01	64	20	the	the	DT	(NP the	***	OS	_
baskervilles01	64	21	change	change	NN	 change))))))))))))	***	OS	_
baskervilles01	64	22	?	?	.	 ?	***	OS	_
baskervilles01	64	23	''	''	''	 '')	***	OS	_

baskervilles01	65	0	``	``	``	(S ``	***	OS	_
baskervilles01	65	1	It	It	PRP	(NP It)	***	OS	_
baskervilles01	65	2	certainly	certainly	RB	(ADVP certainly)	***	OS	_
baskervilles01	65	3	seems	seem	VBZ	(VP seems	***	OS	_
baskervilles01	65	4	probable	probable	JJ	(ADJP probable))	***	OS	_
baskervilles01	65	5	.	.	.	 .	***	OS	_
baskervilles01	65	6	''	''	''	 '')	***	OS	_

baskervilles01	66_1	0	``	``	``	(S ``	_	OS	_
baskervilles01	66_1	1	Now	Now	RB	(ADVP Now)	_	OS	_
baskervilles01	66_1	2	,	,	,	 ,	_	OS	_
baskervilles01	66_1	3	you	you	PRP	(NP you)	_	OS	_
baskervilles01	66_1	4	will	will	MD	(VP will	_	OS	_
baskervilles01	66_1	5	observe	observe	VB	(VP observe	_	OS	_
baskervilles01	66_1	6	that	that	IN	(SBAR that	_	OS	_
baskervilles01	66_1	7	he	he	PRP	(S(NP he)	_	IS	_
baskervilles01	66_1	8	could	could	MD	(VP could	_	IS	_
baskervilles01	66_1	9	not	not	RB	 not	not	OS	_
baskervilles01	66_1	10	have	have	VB	(VP have	_	IS	_
baskervilles01	66_1	11	been	be	VBN	(VP been	_	IS	_
baskervilles01	66_1	12	on	on	IN	(PP on	_	IS	_
baskervilles01	66_1	13	the	the	DT	(NP(NP the	_	IS	_
baskervilles01	66_1	14	staff	staff	NN	 staff)	_	IS	_
baskervilles01	66_1	15	of	of	IN	(PP of	_	IS	_
baskervilles01	66_1	16	the	the	DT	(NP the	_	IS	_
baskervilles01	66_1	17	hospital	hospital	NN	 hospital))))	_	IS	_
baskervilles01	66_1	18	,	,	,	 ,	_	OS	_
baskervilles01	66_1	19	since	since	IN	(SBAR since	_	OS	_
baskervilles01	66_1	20	only	only	RB	(S(S(NP(NP only	_	OS	_
baskervilles01	66_1	21	a	a	DT	 a	_	OS	_
baskervilles01	66_1	22	man	man	NN	 man)	_	OS	_
baskervilles01	66_1	23	well-established	well-establishe	VBN	(VP well-established	_	OS	_
baskervilles01	66_1	24	in	in	IN	(PP in	_	OS	_
baskervilles01	66_1	25	a	a	DT	(NP a	_	OS	_
baskervilles01	66_1	26	London	London	NNP	 London	_	OS	_
baskervilles01	66_1	27	practice	practice	NN	 practice))))	_	OS	_
baskervilles01	66_1	28	could	could	MD	(VP could	_	OS	_
baskervilles01	66_1	29	hold	hold	VB	(VP hold	_	OS	_
baskervilles01	66_1	30	such	such	PDT	(NP such	_	OS	_
baskervilles01	66_1	31	a	a	DT	 a	_	OS	_
baskervilles01	66_1	32	position	position	NN	 position))))	_	OS	_
baskervilles01	66_1	33	,	,	,	 ,	_	OS	_
baskervilles01	66_1	34	and	and	CC	 and	_	OS	_
baskervilles01	66_1	35	such	such	PDT	(S(NP such	_	OS	_
baskervilles01	66_1	36	a	a	DT	 a	_	OS	_
baskervilles01	66_1	37	one	one	NN	 one)	_	OS	_
baskervilles01	66_1	38	would	would	MD	(VP would	_	OS	_
baskervilles01	66_1	39	not	not	RB	 not	_	OS	_
baskervilles01	66_1	40	drift	drift	VB	(VP drift	_	OS	_
baskervilles01	66_1	41	into	into	IN	(PP into	_	OS	_
baskervilles01	66_1	42	the	the	DT	(NP the	_	OS	_
baskervilles01	66_1	43	country	country	NN	 country))))))))))))))	_	OS	_
baskervilles01	66_1	44	.	.	.	 .)	_	OS	_

baskervilles01	66_2	0	``	``	``	(S ``	_	OS	_
baskervilles01	66_2	1	Now	Now	RB	(ADVP Now)	_	OS	_
baskervilles01	66_2	2	,	,	,	 ,	_	OS	_
baskervilles01	66_2	3	you	you	PRP	(NP you)	_	OS	_
baskervilles01	66_2	4	will	will	MD	(VP will	_	OS	_
baskervilles01	66_2	5	observe	observe	VB	(VP observe	_	OS	_
baskervilles01	66_2	6	that	that	IN	(SBAR that	_	OS	_
baskervilles01	66_2	7	he	he	PRP	(S(NP he)	_	OS	_
baskervilles01	66_2	8	could	could	MD	(VP could	_	OS	_
baskervilles01	66_2	9	not	not	RB	 not	_	OS	_
baskervilles01	66_2	10	have	have	VB	(VP have	_	OS	_
baskervilles01	66_2	11	been	be	VBN	(VP been	_	OS	_
baskervilles01	66_2	12	on	on	IN	(PP on	_	OS	_
baskervilles01	66_2	13	the	the	DT	(NP(NP the	_	OS	_
baskervilles01	66_2	14	staff	staff	NN	 staff)	_	OS	_
baskervilles01	66_2	15	of	of	IN	(PP of	_	OS	_
baskervilles01	66_2	16	the	the	DT	(NP the	_	OS	_
baskervilles01	66_2	17	hospital	hospital	NN	 hospital))))	_	OS	_
baskervilles01	66_2	18	,	,	,	 ,	_	OS	_
baskervilles01	66_2	19	since	since	IN	(SBAR since	_	OS	_
baskervilles01	66_2	20	only	only	RB	(S(S(NP(NP only	_	OS	_
baskervilles01	66_2	21	a	a	DT	 a	_	OS	_
baskervilles01	66_2	22	man	man	NN	 man)	_	OS	_
baskervilles01	66_2	23	well-established	well-establishe	VBN	(VP well-established	_	OS	_
baskervilles01	66_2	24	in	in	IN	(PP in	_	OS	_
baskervilles01	66_2	25	a	a	DT	(NP a	_	OS	_
baskervilles01	66_2	26	London	London	NNP	 London	_	OS	_
baskervilles01	66_2	27	practice	practice	NN	 practice))))	_	OS	_
baskervilles01	66_2	28	could	could	MD	(VP could	_	OS	_
baskervilles01	66_2	29	hold	hold	VB	(VP hold	_	OS	_
baskervilles01	66_2	30	such	such	PDT	(NP such	_	OS	_
baskervilles01	66_2	31	a	a	DT	 a	_	OS	_
baskervilles01	66_2	32	position	position	NN	 position))))	_	OS	_
baskervilles01	66_2	33	,	,	,	 ,	_	OS	_
baskervilles01	66_2	34	and	and	CC	 and	_	OS	_
baskervilles01	66_2	35	such	such	PDT	(S(NP such	_	IS	_
baskervilles01	66_2	36	a	a	DT	 a	_	IS	_
baskervilles01	66_2	37	one	one	NN	 one)	_	IS	_
baskervilles01	66_2	38	would	would	MD	(VP would	_	IS	_
baskervilles01	66_2	39	not	not	RB	 not	not	OS	_
baskervilles01	66_2	40	drift	drift	VB	(VP drift	_	IS	_
baskervilles01	66_2	41	into	into	IN	(PP into	_	IS	_
baskervilles01	66_2	42	the	the	DT	(NP the	_	IS	_
baskervilles01	66_2	43	country	country	NN	 country))))))))))))))	_	IS	_
baskervilles01	66_2	44	.	.	.	 .)	_	OS	_

baskervilles01	67	0	What	What	WP	(SBARQ(WHNP What)	***	OS	_
baskervilles01	67	1	was	be	VBD	(SQ was	***	OS	_
baskervilles01	67	2	he	he	PRP	(NP he)	***	OS	_
baskervilles01	67	3	,	,	,	 ,	***	OS	_
baskervilles01	67	4	then	then	RB	(ADVP then))	***	OS	_
baskervilles01	67	5	?	?	.	 ?)	***	OS	_

baskervilles01	68_1	0	If	If	IN	(S(SBAR If	_	OS	_
baskervilles01	68_1	1	he	he	PRP	(S(NP he)	_	IS	_
baskervilles01	68_1	2	was	be	VBD	(VP was	_	IS	_
baskervilles01	68_1	3	in	in	IN	(PP in	_	OS	_
baskervilles01	68_1	4	the	the	DT	(NP(NP the	_	OS	_
baskervilles01	68_1	5	hospital	hospital	NN	 hospital	_	OS	_
baskervilles01	68_1	6	and	and	CC	 and	_	OS	_
baskervilles01	68_1	7	yet	yet	RB	 yet	_	OS	_
baskervilles01	68_1	8	not	not	RB	 not)	not	OS	_
baskervilles01	68_1	9	on	on	IN	(PP on	_	IS	_
baskervilles01	68_1	10	the	the	DT	(NP the	_	IS	_
baskervilles01	68_1	11	staff	staff	NN	 staff)))))))	_	IS	_
baskervilles01	68_1	12	he	he	PRP	(NP he)	_	OS	_
baskervilles01	68_1	13	could	could	MD	(VP could	_	OS	_
baskervilles01	68_1	14	only	only	RB	(ADVP only)	_	OS	_
baskervilles01	68_1	15	have	have	VB	(VP have	_	OS	_
baskervilles01	68_1	16	been	be	VBN	(VP been	_	OS	_
baskervilles01	68_1	17	a	a	DT	(NP(NP a	_	OS	_
baskervilles01	68_1	18	house-surgeon	house-surgeon	JJ	 house-surgeon)	_	OS	_
baskervilles01	68_1	19	or	or	CC	 or	_	OS	_
baskervilles01	68_1	20	a	a	DT	(NP a	_	OS	_
baskervilles01	68_1	21	house-physician	house-physician	JJ	 house-physician)))	_	OS	_
baskervilles01	68_1	22	--	--	:	 --	_	OS	_
baskervilles01	68_1	23	little	little	RB	(NP(NP little	_	OS	_
baskervilles01	68_1	24	more	more	JJR	 more)	_	OS	_
baskervilles01	68_1	25	than	than	IN	(PP than	_	OS	_
baskervilles01	68_1	26	a	a	DT	(NP a	_	OS	_
baskervilles01	68_1	27	senior	senior	JJ	 senior	_	OS	_
baskervilles01	68_1	28	student	student	NN	 student)))))	_	OS	_
baskervilles01	68_1	29	.	.	.	 .)	_	OS	_

baskervilles01	69	0	And	And	CC	(S And	***	OS	_
baskervilles01	69	1	he	he	PRP	(NP he)	***	OS	_
baskervilles01	69	2	left	leave	VBD	(VP left	***	OS	_
baskervilles01	69	3	five	five	CD	(ADVP(NP five	***	OS	_
baskervilles01	69	4	years	year	NNS	 years)	***	OS	_
baskervilles01	69	5	ago	ago	RB	 ago)	***	OS	_
baskervilles01	69	6	--	--	:	 --	***	OS	_
baskervilles01	69	7	the	the	DT	(SBAR(S(NP the	***	OS	_
baskervilles01	69	8	date	date	NN	 date)	***	OS	_
baskervilles01	69	9	is	be	VBZ	(VP is	***	OS	_
baskervilles01	69	10	on	on	IN	(PP on	***	OS	_
baskervilles01	69	11	the	the	DT	(NP the	***	OS	_
baskervilles01	69	12	stick	stick	NN	 stick))))))	***	OS	_
baskervilles01	69	13	.	.	.	 .)	***	OS	_

baskervilles01	70_1	0	So	So	CC	(S So	_	OS	_
baskervilles01	70_1	1	your	your	PRP$	(NP your	_	OS	_
baskervilles01	70_1	2	grave	grave	JJ	 grave	_	OS	_
baskervilles01	70_1	3	,	,	,	 ,	_	OS	_
baskervilles01	70_1	4	middle-aged	middle-aged	JJ	 middle-aged	_	OS	_
baskervilles01	70_1	5	family	family	NN	 family	_	OS	_
baskervilles01	70_1	6	practitioner	practitioner	NN	 practitioner)	_	OS	_
baskervilles01	70_1	7	vanishes	vanish	VBZ	(VP(VP vanishes	_	OS	_
baskervilles01	70_1	8	into	into	IN	(PP into	_	OS	_
baskervilles01	70_1	9	thin	thin	JJ	(NP(NP thin	_	OS	_
baskervilles01	70_1	10	air	air	NN	 air)	_	OS	_
baskervilles01	70_1	11	,	,	,	 ,	_	OS	_
baskervilles01	70_1	12	my	my	PRP$	(NP my	_	OS	_
baskervilles01	70_1	13	dear	dear	RB	 dear	_	OS	_
baskervilles01	70_1	14	Watson	Watson	NNP	 Watson)	_	OS	_
baskervilles01	70_1	15	,	,	,	 ,)))	_	OS	_
baskervilles01	70_1	16	and	and	CC	 and	_	OS	_
baskervilles01	70_1	17	there	there	RB	(VP(ADVP there)	_	OS	_
baskervilles01	70_1	18	emerges	emerge	VBZ	 emerges	_	OS	_
baskervilles01	70_1	19	a	a	DT	(NP a	_	OS	_
baskervilles01	70_1	20	young	young	JJ	 young	_	OS	_
baskervilles01	70_1	21	fellow	fellow	NN	 fellow)	_	OS	_
baskervilles01	70_1	22	under	under	IN	(PP under	_	OS	_
baskervilles01	70_1	23	thirty	thirty	CD	(NP thirty))	_	OS	_
baskervilles01	70_1	24	,	,	,	 ,	_	OS	_
baskervilles01	70_1	25	amiable	amiable	JJ	(UCP(ADJP amiable)	_	OS	_
baskervilles01	70_1	26	,	,	,	 ,	_	OS	_
baskervilles01	70_1	27	unambitious	unambitious	JJ	(ADJP unambitious)	un	IS	ambitious
baskervilles01	70_1	28	,	,	,	 ,	_	OS	_
baskervilles01	70_1	29	absent-minded	absent-minded	JJ	(ADJP absent-minded)	_	OS	_
baskervilles01	70_1	30	,	,	,	 ,	_	OS	_
baskervilles01	70_1	31	and	and	CC	 and	_	OS	_
baskervilles01	70_1	32	the	the	DT	(NP(NP the	_	OS	_
baskervilles01	70_1	33	possessor	possessor	NN	 possessor)	_	OS	_
baskervilles01	70_1	34	of	of	IN	(PP of	_	OS	_
baskervilles01	70_1	35	a	a	DT	(NP(NP a	_	OS	_
baskervilles01	70_1	36	favourite	favourite	JJ	 favourite	_	OS	_
baskervilles01	70_1	37	dog	dog	NN	 dog)	_	OS	_
baskervilles01	70_1	38	,	,	,	 ,	_	OS	_
baskervilles01	70_1	39	which	which	WDT	(SBAR(WHNP which)	_	OS	_
baskervilles01	70_1	40	I	I	PRP	(S(NP I)	_	OS	_
baskervilles01	70_1	41	should	should	MD	(VP should	_	OS	_
baskervilles01	70_1	42	describe	describe	VB	(VP describe	_	OS	_
baskervilles01	70_1	43	roughly	roughly	RB	(PP roughly	_	OS	_
baskervilles01	70_1	44	as	as	IN	 as	_	OS	_
baskervilles01	70_1	45	being	be	VBG	(S(VP being	_	OS	_
baskervilles01	70_1	46	larger	large	JJR	(ADJP(ADJP(ADJP larger)	_	OS	_
baskervilles01	70_1	47	than	than	IN	(PP than	_	OS	_
baskervilles01	70_1	48	a	a	DT	(NP a	_	OS	_
baskervilles01	70_1	49	terrier	terri	NN	 terrier)))	_	OS	_
baskervilles01	70_1	50	and	and	CC	 and	_	OS	_
baskervilles01	70_1	51	smaller	small	JJR	(ADJP(ADJP smaller)	_	OS	_
baskervilles01	70_1	52	than	than	IN	(PP than	_	OS	_
baskervilles01	70_1	53	a	a	DT	(NP a	_	OS	_
baskervilles01	70_1	54	mastiff	mastiff	NN	 mastiff)))))))))))))))))	_	OS	_
baskervilles01	70_1	55	.	.	.	 .	_	OS	_
baskervilles01	70_1	56	''	''	''	 '')	_	OS	_

baskervilles01	71_1	0	I	I	PRP	(S(NP I)	_	IS	_
baskervilles01	71_1	1	laughed	laugh	VBD	(VP laughed	_	IS	_
baskervilles01	71_1	2	incredulously	incredulously	RB	(ADVP incredulously)	in	IS	credulously
baskervilles01	71_1	3	as	as	IN	(SBAR as	_	IS	_
baskervilles01	71_1	4	Sherlock	Sherlock	NNP	(S(NP Sherlock	_	IS	_
baskervilles01	71_1	5	Holmes	Holmes	NNP	 Holmes)	_	IS	_
baskervilles01	71_1	6	leaned	lean	VBD	(VP(VP leaned	_	IS	_
baskervilles01	71_1	7	back	back	RB	(ADVP back)	_	IS	_
baskervilles01	71_1	8	in	in	IN	(PP in	_	IS	_
baskervilles01	71_1	9	his	his	PRP$	(NP his	_	IS	_
baskervilles01	71_1	10	settee	settee	NN	 settee)))	_	IS	_
baskervilles01	71_1	11	and	and	CC	 and	_	IS	_
baskervilles01	71_1	12	blew	blow	VBD	(VP blew	_	IS	_
baskervilles01	71_1	13	little	little	JJ	(NP(NP little	_	IS	_
baskervilles01	71_1	14	wavering	waver	VBG	 wavering	_	IS	_
baskervilles01	71_1	15	rings	ring	NNS	 rings)	_	IS	_
baskervilles01	71_1	16	of	of	IN	(PP of	_	IS	_
baskervilles01	71_1	17	smoke	smoke	NN	(NP smoke)))	_	IS	_
baskervilles01	71_1	18	up	up	RP	(PRT up)	_	IS	_
baskervilles01	71_1	19	to	to	TO	(PP to	_	IS	_
baskervilles01	71_1	20	the	the	DT	(NP the	_	IS	_
baskervilles01	71_1	21	ceiling	ceiling	NN	 ceiling)))))))	_	IS	_
baskervilles01	71_1	22	.	.	.	 .)	_	OS	_

baskervilles01	72_1	0	``	``	``	(S ``	_	OS	_
baskervilles01	72_1	1	As	As	IN	(S(PP As	_	OS	_
baskervilles01	72_1	2	to	to	TO	(PP to	_	OS	_
baskervilles01	72_1	3	the	the	DT	(NP the	_	OS	_
baskervilles01	72_1	4	latter	latter	JJ	 latter	_	OS	_
baskervilles01	72_1	5	part	part	NN	 part)))	_	OS	_
baskervilles01	72_1	6	,	,	,	 ,	_	OS	_
baskervilles01	72_1	7	I	I	PRP	(NP I)	_	IS	_
baskervilles01	72_1	8	have	have	VBP	(VP have	_	IS	have
baskervilles01	72_1	9	no	no	DT	(NP(NP no	no	OS	_
baskervilles01	72_1	10	means	means	NN	 means)	_	IS	_
baskervilles01	72_1	11	of	of	IN	(PP of	_	IS	_
baskervilles01	72_1	12	checking	check	VBG	(S(VP checking	_	IS	_
baskervilles01	72_1	13	you	you	PRP	(NP you)))))))	_	IS	_
baskervilles01	72_1	14	,	,	,	 ,	_	OS	_
baskervilles01	72_1	15	''	''	''	 ''	_	OS	_
baskervilles01	72_1	16	said	say	VBD	(VP said	_	OS	_
baskervilles01	72_1	17	I	I	PRP	(NP I)	_	OS	_
baskervilles01	72_1	18	,	,	,	 ,	_	OS	_
baskervilles01	72_1	19	``	``	``	 ``	_	OS	_
baskervilles01	72_1	20	but	but	CC	(S but	_	OS	_
baskervilles01	72_1	21	at	at	IN	(ADVP at	_	OS	_
baskervilles01	72_1	22	least	least	JJS	 least)	_	OS	_
baskervilles01	72_1	23	it	it	PRP	(NP it)	_	OS	_
baskervilles01	72_1	24	is	be	VBZ	(VP is	_	OS	_
baskervilles01	72_1	25	not	not	RB	 not	_	OS	_
baskervilles01	72_1	26	difficult	difficult	JJ	(ADJP difficult	_	OS	_
baskervilles01	72_1	27	to	to	TO	(S(VP to	_	OS	_
baskervilles01	72_1	28	find	find	VB	(VP find	_	OS	_
baskervilles01	72_1	29	out	out	RP	(PRT out)	_	OS	_
baskervilles01	72_1	30	a	a	DT	(NP(NP a	_	OS	_
baskervilles01	72_1	31	few	few	JJ	 few	_	OS	_
baskervilles01	72_1	32	particulars	particular	NNS	 particulars)	_	OS	_
baskervilles01	72_1	33	about	about	IN	(PP about	_	OS	_
baskervilles01	72_1	34	the	the	DT	(NP(NP the	_	OS	_
baskervilles01	72_1	35	man	man	NN	 man	_	OS	_
baskervilles01	72_1	36	's	's	POS	 's)	_	OS	_
baskervilles01	72_1	37	age	age	NN	 age	_	OS	_
baskervilles01	72_1	38	and	and	CC	 and	_	OS	_
baskervilles01	72_1	39	professional	professional	JJ	 professional	_	OS	_
baskervilles01	72_1	40	career	career	NN	 career))))))))))	_	OS	_
baskervilles01	72_1	41	.	.	.	 .	_	OS	_
baskervilles01	72_1	42	''	''	''	 '')	_	OS	_

baskervilles01	72_2	0	``	``	``	(S ``	_	OS	_
baskervilles01	72_2	1	As	As	IN	(S(PP As	_	OS	_
baskervilles01	72_2	2	to	to	TO	(PP to	_	OS	_
baskervilles01	72_2	3	the	the	DT	(NP the	_	OS	_
baskervilles01	72_2	4	latter	latter	JJ	 latter	_	OS	_
baskervilles01	72_2	5	part	part	NN	 part)))	_	OS	_
baskervilles01	72_2	6	,	,	,	 ,	_	OS	_
baskervilles01	72_2	7	I	I	PRP	(NP I)	_	OS	_
baskervilles01	72_2	8	have	have	VBP	(VP have	_	OS	_
baskervilles01	72_2	9	no	no	DT	(NP(NP no	_	OS	_
baskervilles01	72_2	10	means	means	NN	 means)	_	OS	_
baskervilles01	72_2	11	of	of	IN	(PP of	_	OS	_
baskervilles01	72_2	12	checking	check	VBG	(S(VP checking	_	OS	_
baskervilles01	72_2	13	you	you	PRP	(NP you)))))))	_	OS	_
baskervilles01	72_2	14	,	,	,	 ,	_	OS	_
baskervilles01	72_2	15	''	''	''	 ''	_	OS	_
baskervilles01	72_2	16	said	say	VBD	(VP said	_	OS	_
baskervilles01	72_2	17	I	I	PRP	(NP I)	_	OS	_
baskervilles01	72_2	18	,	,	,	 ,	_	OS	_
baskervilles01	72_2	19	``	``	``	 ``	_	OS	_
baskervilles01	72_2	20	but	but	CC	(S but	_	OS	_
baskervilles01	72_2	21	at	at	IN	(ADVP at	_	OS	_
baskervilles01	72_2	22	least	least	JJS	 least)	_	OS	_
baskervilles01	72_2	23	it	it	PRP	(NP it)	_	IS	_
baskervilles01	72_2	24	is	be	VBZ	(VP is	_	IS	_
baskervilles01	72_2	25	not	not	RB	 not	not	OS	_
baskervilles01	72_2	26	difficult	difficult	JJ	(ADJP difficult	_	IS	difficult
baskervilles01	72_2	27	to	to	TO	(S(VP to	_	IS	_
baskervilles01	72_2	28	find	find	VB	(VP find	_	IS	_
baskervilles01	72_2	29	out	out	RP	(PRT out)	_	IS	_
baskervilles01	72_2	30	a	a	DT	(NP(NP a	_	IS	_
baskervilles01	72_2	31	few	few	JJ	 few	_	IS	_
baskervilles01	72_2	32	particulars	particular	NNS	 particulars)	_	IS	_
baskervilles01	72_2	33	about	about	IN	(PP about	_	IS	_
baskervilles01	72_2	34	the	the	DT	(NP(NP the	_	IS	_
baskervilles01	72_2	35	man	man	NN	 man	_	IS	_
baskervilles01	72_2	36	's	's	POS	 's)	_	IS	_
baskervilles01	72_2	37	age	age	NN	 age	_	IS	_
baskervilles01	72_2	38	and	and	CC	 and	_	IS	_
baskervilles01	72_2	39	professional	professional	JJ	 professional	_	IS	_
baskervilles01	72_2	40	career	career	NN	 career))))))))))	_	IS	_
baskervilles01	72_2	41	.	.	.	 .	_	OS	_
baskervilles01	72_2	42	''	''	''	 '')	_	OS	_

baskervilles01	73	0	From	From	IN	(S(PP From	***	OS	_
baskervilles01	73	1	my	my	PRP$	(NP my	***	OS	_
baskervilles01	73	2	small	small	JJ	 small	***	OS	_
baskervilles01	73	3	medical	medical	JJ	 medical	***	OS	_
baskervilles01	73	4	shelf	shelf	NN	 shelf))	***	OS	_
baskervilles01	73	5	I	I	PRP	(NP I)	***	OS	_
baskervilles01	73	6	took	take	VBD	(VP(VP took	***	OS	_
baskervilles01	73	7	down	down	RP	(PRT down)	***	OS	_
baskervilles01	73	8	the	the	DT	(NP the	***	OS	_
baskervilles01	73	9	Medical	Medical	NNP	 Medical	***	OS	_
baskervilles01	73	10	Directory	Directory	NNP	 Directory))	***	OS	_
baskervilles01	73	11	and	and	CC	 and	***	OS	_
baskervilles01	73	12	turned	turn	VBD	(VP turned	***	OS	_
baskervilles01	73	13	up	up	RP	(PRT up)	***	OS	_
baskervilles01	73	14	the	the	DT	(NP the	***	OS	_
baskervilles01	73	15	name	name	NN	 name)))	***	OS	_
baskervilles01	73	16	.	.	.	 .)	***	OS	_

baskervilles01	74	0	There	There	EX	(S(NP There)	***	OS	_
baskervilles01	74	1	were	be	VBD	(VP were	***	OS	_
baskervilles01	74	2	several	several	JJ	(NP(NP several	***	OS	_
baskervilles01	74	3	Mortimers	Mortimer	NNS	 Mortimers)	***	OS	_
baskervilles01	74	4	,	,	,	 ,	***	OS	_
baskervilles01	74	5	but	but	CC	(CONJP but	***	OS	_
baskervilles01	74	6	only	only	RB	 only)	***	OS	_
baskervilles01	74	7	one	one	NN	(NP(NP one)	***	OS	_
baskervilles01	74	8	who	who	WP	(SBAR(WHNP who)	***	OS	_
baskervilles01	74	9	could	could	MD	(S(VP could	***	OS	_
baskervilles01	74	10	be	be	VB	(VP be	***	OS	_
baskervilles01	74	11	our	our	PRP$	(NP our	***	OS	_
baskervilles01	74	12	visitor	visitor	NN	 visitor))))))))	***	OS	_
baskervilles01	74	13	.	.	.	 .)	***	OS	_

baskervilles01	75	0	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	75	1	read	read	VBP	(VP read	***	OS	_
baskervilles01	75	2	his	his	PRP$	(NP his	***	OS	_
baskervilles01	75	3	record	record	NN	 record)	***	OS	_
baskervilles01	75	4	aloud	aloud	RB	(ADVP aloud))	***	OS	_
baskervilles01	75	5	.	.	.	 .)	***	OS	_

baskervilles01	76	0	``	``	``	(X ``	***	OS	_
baskervilles01	76	1	Mortimer	Mortimer	NNP	(NP Mortimer)	***	OS	_
baskervilles01	76	2	,	,	,	 ,	***	OS	_
baskervilles01	76	3	James	James	NNP	(NP James	***	OS	_
baskervilles01	76	4	,	,	,	 ,	***	OS	_
